PROGRAM_LABEL,NAME,CODE,TOTAL_UNITS
VO,TX DONLEY COUNTY,48129,-1
MR,TX DONLEY COUNTY,48129,-1
All HUD,TX DONLEY COUNTY,48129,-1
S236,TX DONLEY COUNTY,48129,0
MF/Other,TX DONLEY COUNTY,48129,0
S8 NC/SR,TX DONLEY COUNTY,48129,0
VO,TX DUVAL COUNTY,48131,-1
PH,TX DUVAL COUNTY,48131,52
MR,TX DUVAL COUNTY,48131,-1
All HUD,TX DUVAL COUNTY,48131,-1
S8 NC/SR,TX DUVAL COUNTY,48131,28
S236,TX DUVAL COUNTY,48131,0
MF/Other,TX DUVAL COUNTY,48131,60
PH,TX EASTLAND COUNTY,48133,261
VO,TX EASTLAND COUNTY,48133,-1
MR,TX EASTLAND COUNTY,48133,-1
All HUD,TX EASTLAND COUNTY,48133,-1
MF/Other,TX EASTLAND COUNTY,48133,0
S8 NC/SR,TX EASTLAND COUNTY,48133,62
S236,TX EASTLAND COUNTY,48133,0
PH,TX ECTOR COUNTY,48135,73
VO,TX ECTOR COUNTY,48135,-1
MR,TX ECTOR COUNTY,48135,-1
All HUD,TX ECTOR COUNTY,48135,-1
MF/Other,TX ECTOR COUNTY,48135,187
S8 NC/SR,TX ECTOR COUNTY,48135,430
S236,TX ECTOR COUNTY,48135,80
PH,TX EDWARDS COUNTY,48137,0
VO,TX EDWARDS COUNTY,48137,-1
MR,TX EDWARDS COUNTY,48137,-1
All HUD,TX EDWARDS COUNTY,48137,-1
S8 NC/SR,TX EDWARDS COUNTY,48137,0
S236,TX EDWARDS COUNTY,48137,0
MF/Other,TX EDWARDS COUNTY,48137,0
PH,TX ELLIS COUNTY,48139,230
VO,TX ELLIS COUNTY,48139,-1
MR,TX ELLIS COUNTY,48139,-1
All HUD,TX ELLIS COUNTY,48139,-1
S8 NC/SR,TX ELLIS COUNTY,48139,202
S236,TX ELLIS COUNTY,48139,0
MF/Other,TX ELLIS COUNTY,48139,60
PH,TX EL PASO COUNTY,48141,6130
VO,TX EL PASO COUNTY,48141,-1
MR,TX EL PASO COUNTY,48141,-1
All HUD,TX EL PASO COUNTY,48141,-1
MF/Other,TX EL PASO COUNTY,48141,1026
S8 NC/SR,TX EL PASO COUNTY,48141,1229
S236,TX EL PASO COUNTY,48141,300
VO,TX ERATH COUNTY,48143,-1
PH,TX ERATH COUNTY,48143,74
MR,TX ERATH COUNTY,48143,-1
All HUD,TX ERATH COUNTY,48143,-1
MF/Other,TX ERATH COUNTY,48143,0
S8 NC/SR,TX ERATH COUNTY,48143,122
S236,TX ERATH COUNTY,48143,128
PH,TX FALLS COUNTY,48145,237
VO,TX FALLS COUNTY,48145,-1
MR,TX FALLS COUNTY,48145,-1
All HUD,TX FALLS COUNTY,48145,-1
S8 NC/SR,TX FALLS COUNTY,48145,20
S236,TX FALLS COUNTY,48145,0
MF/Other,TX FALLS COUNTY,48145,0
VO,TX FANNIN COUNTY,48147,-1
PH,TX FANNIN COUNTY,48147,302
MR,TX FANNIN COUNTY,48147,-1
All HUD,TX FANNIN COUNTY,48147,-1
S8 NC/SR,TX FANNIN COUNTY,48147,40
S236,TX FANNIN COUNTY,48147,0
MF/Other,TX FANNIN COUNTY,48147,0
VO,TX FAYETTE COUNTY,48149,-1
PH,TX FAYETTE COUNTY,48149,165
MR,TX FAYETTE COUNTY,48149,-1
All HUD,TX FAYETTE COUNTY,48149,-1
MF/Other,TX FAYETTE COUNTY,48149,0
S236,TX FAYETTE COUNTY,48149,0
S8 NC/SR,TX FAYETTE COUNTY,48149,10
VO,TX FISHER COUNTY,48151,-1
PH,TX FISHER COUNTY,48151,106
MR,TX FISHER COUNTY,48151,-1
All HUD,TX FISHER COUNTY,48151,-1
S8 NC/SR,TX FISHER COUNTY,48151,0
S236,TX FISHER COUNTY,48151,0
MF/Other,TX FISHER COUNTY,48151,0
VO,TX FLOYD COUNTY,48153,-1
PH,TX FLOYD COUNTY,48153,78
MR,TX FLOYD COUNTY,48153,-1
All HUD,TX FLOYD COUNTY,48153,-1
S8 NC/SR,TX FLOYD COUNTY,48153,0
S236,TX FLOYD COUNTY,48153,0
MF/Other,TX FLOYD COUNTY,48153,0
VO,TX FOARD COUNTY,48155,-1
PH,TX FOARD COUNTY,48155,30
MR,TX FOARD COUNTY,48155,-1
All HUD,TX FOARD COUNTY,48155,-1
S8 NC/SR,TX FOARD COUNTY,48155,0
S236,TX FOARD COUNTY,48155,0
MF/Other,TX FOARD COUNTY,48155,0
VO,TX FORT BEND COUNTY,48157,-1
PH,TX FORT BEND COUNTY,48157,0
MR,TX FORT BEND COUNTY,48157,-1
All HUD,TX FORT BEND COUNTY,48157,-1
S236,TX FORT BEND COUNTY,48157,0
MF/Other,TX FORT BEND COUNTY,48157,240
S8 NC/SR,TX FORT BEND COUNTY,48157,74
VO,TX FRANKLIN COUNTY,48159,-1
PH,TX FRANKLIN COUNTY,48159,57
MR,TX FRANKLIN COUNTY,48159,-1
All HUD,TX FRANKLIN COUNTY,48159,-1
S236,TX FRANKLIN COUNTY,48159,0
MF/Other,TX FRANKLIN COUNTY,48159,0
S8 NC/SR,TX FRANKLIN COUNTY,48159,0
VO,TX FREESTONE COUNTY,48161,-1
PH,TX FREESTONE COUNTY,48161,110
MR,TX FREESTONE COUNTY,48161,-1
All HUD,TX FREESTONE COUNTY,48161,-1
S8 NC/SR,TX FREESTONE COUNTY,48161,34
S236,TX FREESTONE COUNTY,48161,0
MF/Other,TX FREESTONE COUNTY,48161,0
VO,TX FRIO COUNTY,48163,-1
PH,TX FRIO COUNTY,48163,80
MR,TX FRIO COUNTY,48163,-1
All HUD,TX FRIO COUNTY,48163,-1
MF/Other,TX FRIO COUNTY,48163,0
S8 NC/SR,TX FRIO COUNTY,48163,109
S236,TX FRIO COUNTY,48163,0
PH,TX GAINES COUNTY,48165,63
VO,TX GAINES COUNTY,48165,-1
MR,TX GAINES COUNTY,48165,-1
All HUD,TX GAINES COUNTY,48165,-1
MF/Other,TX GAINES COUNTY,48165,0
S8 NC/SR,TX GAINES COUNTY,48165,0
S236,TX GAINES COUNTY,48165,0
VO,TX GALVESTON COUNTY,48167,-1
PH,TX GALVESTON COUNTY,48167,1099
MR,TX GALVESTON COUNTY,48167,-1
All HUD,TX GALVESTON COUNTY,48167,-1
S8 NC/SR,TX GALVESTON COUNTY,48167,100
S236,TX GALVESTON COUNTY,48167,0
MF/Other,TX GALVESTON COUNTY,48167,604
VO,TX GARZA COUNTY,48169,-1
PH,TX GARZA COUNTY,48169,90
MR,TX GARZA COUNTY,48169,-1
All HUD,TX GARZA COUNTY,48169,-1
S8 NC/SR,TX GARZA COUNTY,48169,0
S236,TX GARZA COUNTY,48169,0
MF/Other,TX GARZA COUNTY,48169,0
PH,TX GILLESPIE COUNTY,48171,0
VO,TX GILLESPIE COUNTY,48171,-1
MR,TX GILLESPIE COUNTY,48171,-1
All HUD,TX GILLESPIE COUNTY,48171,-1
MF/Other,TX GILLESPIE COUNTY,48171,0
S8 NC/SR,TX GILLESPIE COUNTY,48171,24
S236,TX GILLESPIE COUNTY,48171,0
PH,TX GLASSCOCK COUNTY,48173,0
VO,TX GLASSCOCK COUNTY,48173,-1
MR,TX GLASSCOCK COUNTY,48173,-1
All HUD,TX GLASSCOCK COUNTY,48173,-1
MF/Other,TX GLASSCOCK COUNTY,48173,0
S8 NC/SR,TX GLASSCOCK COUNTY,48173,0
S236,TX GLASSCOCK COUNTY,48173,0
PH,TX GOLIAD COUNTY,48175,47
VO,TX GOLIAD COUNTY,48175,-1
MR,TX GOLIAD COUNTY,48175,-1
All HUD,TX GOLIAD COUNTY,48175,-1
S8 NC/SR,TX GOLIAD COUNTY,48175,0
S236,TX GOLIAD COUNTY,48175,0
MF/Other,TX GOLIAD COUNTY,48175,0
PH,TX GONZALES COUNTY,48177,208
VO,TX GONZALES COUNTY,48177,-1
MR,TX GONZALES COUNTY,48177,-1
All HUD,TX GONZALES COUNTY,48177,-1
S8 NC/SR,TX GONZALES COUNTY,48177,103
S236,TX GONZALES COUNTY,48177,0
MF/Other,TX GONZALES COUNTY,48177,24
PH,TX GRAY COUNTY,48179,12
VO,TX GRAY COUNTY,48179,-1
MR,TX GRAY COUNTY,48179,-1
All HUD,TX GRAY COUNTY,48179,-1
S236,TX GRAY COUNTY,48179,0
S8 NC/SR,TX GRAY COUNTY,48179,96
MF/Other,TX GRAY COUNTY,48179,0
VO,TX GRAYSON COUNTY,48181,-1
PH,TX GRAYSON COUNTY,48181,699
MR,TX GRAYSON COUNTY,48181,-1
All HUD,TX GRAYSON COUNTY,48181,-1
S236,TX GRAYSON COUNTY,48181,100
MF/Other,TX GRAYSON COUNTY,48181,287
S8 NC/SR,TX GRAYSON COUNTY,48181,125
VO,TX GREGG COUNTY,48183,-1
PH,TX GREGG COUNTY,48183,125
MR,TX GREGG COUNTY,48183,-1
All HUD,TX GREGG COUNTY,48183,-1
S8 NC/SR,TX GREGG COUNTY,48183,542
S236,TX GREGG COUNTY,48183,100
MF/Other,TX GREGG COUNTY,48183,456
PH,TX GRIMES COUNTY,48185,50
VO,TX GRIMES COUNTY,48185,-1
MR,TX GRIMES COUNTY,48185,-1
All HUD,TX GRIMES COUNTY,48185,-1
S8 NC/SR,TX GRIMES COUNTY,48185,0
S236,TX GRIMES COUNTY,48185,0
MF/Other,TX GRIMES COUNTY,48185,109
PH,TX GUADALUPE COUNTY,48187,264
VO,TX GUADALUPE COUNTY,48187,-1
MR,TX GUADALUPE COUNTY,48187,-1
All HUD,TX GUADALUPE COUNTY,48187,-1
S236,TX GUADALUPE COUNTY,48187,80
MF/Other,TX GUADALUPE COUNTY,48187,22
S8 NC/SR,TX GUADALUPE COUNTY,48187,144
PH,TX HALE COUNTY,48189,44
VO,TX HALE COUNTY,48189,-1
MR,TX HALE COUNTY,48189,-1
All HUD,TX HALE COUNTY,48189,-1
S236,TX HALE COUNTY,48189,148
MF/Other,TX HALE COUNTY,48189,0
S8 NC/SR,TX HALE COUNTY,48189,125
PH,TX HALL COUNTY,48191,80
VO,TX HALL COUNTY,48191,-1
MR,TX HALL COUNTY,48191,-1
All HUD,TX HALL COUNTY,48191,-1
S8 NC/SR,TX HALL COUNTY,48191,0
S236,TX HALL COUNTY,48191,0
MF/Other,TX HALL COUNTY,48191,0
PH,TX HAMILTON COUNTY,48193,88
VO,TX HAMILTON COUNTY,48193,-1
MR,TX HAMILTON COUNTY,48193,-1
All HUD,TX HAMILTON COUNTY,48193,-1
MF/Other,TX HAMILTON COUNTY,48193,0
S8 NC/SR,TX HAMILTON COUNTY,48193,0
S236,TX HAMILTON COUNTY,48193,0
VO,TX HANSFORD COUNTY,48195,-1
PH,TX HANSFORD COUNTY,48195,10
MR,TX HANSFORD COUNTY,48195,-1
All HUD,TX HANSFORD COUNTY,48195,-1
MF/Other,TX HANSFORD COUNTY,48195,0
S8 NC/SR,TX HANSFORD COUNTY,48195,0
S236,TX HANSFORD COUNTY,48195,0
PH,TX HARDEMAN COUNTY,48197,93
VO,TX HARDEMAN COUNTY,48197,-1
MR,TX HARDEMAN COUNTY,48197,-1
All HUD,TX HARDEMAN COUNTY,48197,-1
S8 NC/SR,TX HARDEMAN COUNTY,48197,0
S236,TX HARDEMAN COUNTY,48197,0
MF/Other,TX HARDEMAN COUNTY,48197,0
PH,TX HARDIN COUNTY,48199,0
VO,TX HARDIN COUNTY,48199,-1
MR,TX HARDIN COUNTY,48199,-1
All HUD,TX HARDIN COUNTY,48199,-1
S8 NC/SR,TX HARDIN COUNTY,48199,0
S236,TX HARDIN COUNTY,48199,0
MF/Other,TX HARDIN COUNTY,48199,0
VO,TX HARRIS COUNTY,48201,-1
PH,TX HARRIS COUNTY,48201,3497
MR,TX HARRIS COUNTY,48201,-1
All HUD,TX HARRIS COUNTY,48201,-1
MF/Other,TX HARRIS COUNTY,48201,6680
S8 NC/SR,TX HARRIS COUNTY,48201,3752
S236,TX HARRIS COUNTY,48201,1351
VO,TX HARRISON COUNTY,48203,-1
PH,TX HARRISON COUNTY,48203,74
MR,TX HARRISON COUNTY,48203,-1
All HUD,TX HARRISON COUNTY,48203,-1
MF/Other,TX HARRISON COUNTY,48203,150
S8 NC/SR,TX HARRISON COUNTY,48203,15
S236,TX HARRISON COUNTY,48203,176
VO,TX HARTLEY COUNTY,48205,-1
PH,TX HARTLEY COUNTY,48205,0
MR,TX HARTLEY COUNTY,48205,-1
All HUD,TX HARTLEY COUNTY,48205,-1
S8 NC/SR,TX HARTLEY COUNTY,48205,0
S236,TX HARTLEY COUNTY,48205,0
MF/Other,TX HARTLEY COUNTY,48205,0
PH,TX HASKELL COUNTY,48207,50
VO,TX HASKELL COUNTY,48207,-1
MR,TX HASKELL COUNTY,48207,-1
All HUD,TX HASKELL COUNTY,48207,-1
S8 NC/SR,TX HASKELL COUNTY,48207,0
S236,TX HASKELL COUNTY,48207,0
MF/Other,TX HASKELL COUNTY,48207,0
VO,TX HAYS COUNTY,48209,-1
PH,TX HAYS COUNTY,48209,307
MR,TX HAYS COUNTY,48209,-1
All HUD,TX HAYS COUNTY,48209,-1
S236,TX HAYS COUNTY,48209,54
S8 NC/SR,TX HAYS COUNTY,48209,90
MF/Other,TX HAYS COUNTY,48209,0
VO,TX HEMPHILL COUNTY,48211,-1
PH,TX HEMPHILL COUNTY,48211,0
MR,TX HEMPHILL COUNTY,48211,-1
All HUD,TX HEMPHILL COUNTY,48211,-1
S236,TX HEMPHILL COUNTY,48211,0
MF/Other,TX HEMPHILL COUNTY,48211,0
S8 NC/SR,TX HEMPHILL COUNTY,48211,0
VO,TX HENDERSON COUNTY,48213,-1
PH,TX HENDERSON COUNTY,48213,140
MR,TX HENDERSON COUNTY,48213,-1
All HUD,TX HENDERSON COUNTY,48213,-1
S8 NC/SR,TX HENDERSON COUNTY,48213,156
S236,TX HENDERSON COUNTY,48213,0
MF/Other,TX HENDERSON COUNTY,48213,50
PH,TX HIDALGO COUNTY,48215,2240
VO,TX HIDALGO COUNTY,48215,-1
MR,TX HIDALGO COUNTY,48215,-1
All HUD,TX HIDALGO COUNTY,48215,-1
S8 NC/SR,TX HIDALGO COUNTY,48215,1129
S236,TX HIDALGO COUNTY,48215,184
MF/Other,TX HIDALGO COUNTY,48215,429
PH,TX HILL COUNTY,48217,64
VO,TX HILL COUNTY,48217,-1
MR,TX HILL COUNTY,48217,-1
All HUD,TX HILL COUNTY,48217,-1
S236,TX HILL COUNTY,48217,50
MF/Other,TX HILL COUNTY,48217,0
S8 NC/SR,TX HILL COUNTY,48217,42
PH,TX HOCKLEY COUNTY,48219,58
VO,TX HOCKLEY COUNTY,48219,-1
MR,TX HOCKLEY COUNTY,48219,-1
All HUD,TX HOCKLEY COUNTY,48219,-1
S236,TX HOCKLEY COUNTY,48219,0
MF/Other,TX HOCKLEY COUNTY,48219,0
S8 NC/SR,TX HOCKLEY COUNTY,48219,0
PH,TX HOOD COUNTY,48221,100
VO,TX HOOD COUNTY,48221,-1
MR,TX HOOD COUNTY,48221,-1
All HUD,TX HOOD COUNTY,48221,-1
S8 NC/SR,TX HOOD COUNTY,48221,0
S236,TX HOOD COUNTY,48221,0
MF/Other,TX HOOD COUNTY,48221,0
VO,TX HOPKINS COUNTY,48223,-1
PH,TX HOPKINS COUNTY,48223,25
MR,TX HOPKINS COUNTY,48223,-1
All HUD,TX HOPKINS COUNTY,48223,-1
S8 NC/SR,TX HOPKINS COUNTY,48223,34
S236,TX HOPKINS COUNTY,48223,0
MF/Other,TX HOPKINS COUNTY,48223,0
VO,TX HOUSTON COUNTY,48225,-1
PH,TX HOUSTON COUNTY,48225,340
MR,TX HOUSTON COUNTY,48225,-1
All HUD,TX HOUSTON COUNTY,48225,-1
S236,TX HOUSTON COUNTY,48225,0
S8 NC/SR,TX HOUSTON COUNTY,48225,0
MF/Other,TX HOUSTON COUNTY,48225,70
VO,TX HOWARD COUNTY,48227,-1
PH,TX HOWARD COUNTY,48227,0
MR,TX HOWARD COUNTY,48227,-1
All HUD,TX HOWARD COUNTY,48227,-1
S236,TX HOWARD COUNTY,48227,76
MF/Other,TX HOWARD COUNTY,48227,68
S8 NC/SR,TX HOWARD COUNTY,48227,179
PH,TX HUDSPETH COUNTY,48229,0
VO,TX HUDSPETH COUNTY,48229,-1
MR,TX HUDSPETH COUNTY,48229,-1
All HUD,TX HUDSPETH COUNTY,48229,-1
S8 NC/SR,TX HUDSPETH COUNTY,48229,0
S236,TX HUDSPETH COUNTY,48229,0
MF/Other,TX HUDSPETH COUNTY,48229,0
VO,TX HUNT COUNTY,48231,-1
PH,TX HUNT COUNTY,48231,254
MR,TX HUNT COUNTY,48231,-1
All HUD,TX HUNT COUNTY,48231,-1
S8 NC/SR,TX HUNT COUNTY,48231,0
S236,TX HUNT COUNTY,48231,0
MF/Other,TX HUNT COUNTY,48231,0
VO,TX HUTCHINSON COUNTY,48233,-1
PH,TX HUTCHINSON COUNTY,48233,204
MR,TX HUTCHINSON COUNTY,48233,-1
All HUD,TX HUTCHINSON COUNTY,48233,-1
S236,TX HUTCHINSON COUNTY,48233,0
MF/Other,TX HUTCHINSON COUNTY,48233,0
S8 NC/SR,TX HUTCHINSON COUNTY,48233,0
VO,TX IRION COUNTY,48235,-1
PH,TX IRION COUNTY,48235,0
MR,TX IRION COUNTY,48235,-1
All HUD,TX IRION COUNTY,48235,-1
S236,TX IRION COUNTY,48235,0
MF/Other,TX IRION COUNTY,48235,0
S8 NC/SR,TX IRION COUNTY,48235,0
PH,TX JACK COUNTY,48237,14
VO,TX JACK COUNTY,48237,-1
MR,TX JACK COUNTY,48237,-1
All HUD,TX JACK COUNTY,48237,-1
S8 NC/SR,TX JACK COUNTY,48237,0
S236,TX JACK COUNTY,48237,0
MF/Other,TX JACK COUNTY,48237,0
PH,TX JACKSON COUNTY,48239,30
VO,TX JACKSON COUNTY,48239,-1
MR,TX JACKSON COUNTY,48239,-1
All HUD,TX JACKSON COUNTY,48239,-1
S8 NC/SR,TX JACKSON COUNTY,48239,24
S236,TX JACKSON COUNTY,48239,0
MF/Other,TX JACKSON COUNTY,48239,0
VO,TX JASPER COUNTY,48241,-1
PH,TX JASPER COUNTY,48241,144
MR,TX JASPER COUNTY,48241,-1
All HUD,TX JASPER COUNTY,48241,-1
MF/Other,TX JASPER COUNTY,48241,194
S8 NC/SR,TX JASPER COUNTY,48241,0
S236,TX JASPER COUNTY,48241,0
VO,TX JEFF DAVIS COUNTY,48243,-1
PH,TX JEFF DAVIS COUNTY,48243,0
MR,TX JEFF DAVIS COUNTY,48243,-1
All HUD,TX JEFF DAVIS COUNTY,48243,-1
S8 NC/SR,TX JEFF DAVIS COUNTY,48243,0
S236,TX JEFF DAVIS COUNTY,48243,0
MF/Other,TX JEFF DAVIS COUNTY,48243,0
PH,TX JEFFERSON COUNTY,48245,1050
VO,TX JEFFERSON COUNTY,48245,-1
MR,TX JEFFERSON COUNTY,48245,-1
All HUD,TX JEFFERSON COUNTY,48245,-1
S8 NC/SR,TX JEFFERSON COUNTY,48245,1650
S236,TX JEFFERSON COUNTY,48245,110
MF/Other,TX JEFFERSON COUNTY,48245,2111
PH,TX JIM HOGG COUNTY,48247,0
VO,TX JIM HOGG COUNTY,48247,-1
MR,TX JIM HOGG COUNTY,48247,-1
All HUD,TX JIM HOGG COUNTY,48247,-1
S8 NC/SR,TX JIM HOGG COUNTY,48247,28
S236,TX JIM HOGG COUNTY,48247,0
MF/Other,TX JIM HOGG COUNTY,48247,0
VO,TX JIM WELLS COUNTY,48249,-1
PH,TX JIM WELLS COUNTY,48249,243
MR,TX JIM WELLS COUNTY,48249,-1
All HUD,TX JIM WELLS COUNTY,48249,-1
S236,TX JIM WELLS COUNTY,48249,48
MF/Other,TX JIM WELLS COUNTY,48249,80
S8 NC/SR,TX JIM WELLS COUNTY,48249,163
PH,TX JOHNSON COUNTY,48251,20
VO,TX JOHNSON COUNTY,48251,-1
MR,TX JOHNSON COUNTY,48251,-1
All HUD,TX JOHNSON COUNTY,48251,-1
S236,TX JOHNSON COUNTY,48251,72
MF/Other,TX JOHNSON COUNTY,48251,40
S8 NC/SR,TX JOHNSON COUNTY,48251,110
VO,TX JONES COUNTY,48253,-1
PH,TX JONES COUNTY,48253,176
MR,TX JONES COUNTY,48253,-1
All HUD,TX JONES COUNTY,48253,-1
S8 NC/SR,TX JONES COUNTY,48253,0
S236,TX JONES COUNTY,48253,0
MF/Other,TX JONES COUNTY,48253,0
VO,TX KARNES COUNTY,48255,-1
PH,TX KARNES COUNTY,48255,130
MR,TX KARNES COUNTY,48255,-1
All HUD,TX KARNES COUNTY,48255,-1
MF/Other,TX KARNES COUNTY,48255,0
S8 NC/SR,TX KARNES COUNTY,48255,48
S236,TX KARNES COUNTY,48255,0
PH,TX KAUFMAN COUNTY,48257,34
VO,TX KAUFMAN COUNTY,48257,-1
MR,TX KAUFMAN COUNTY,48257,-1
All HUD,TX KAUFMAN COUNTY,48257,-1
MF/Other,TX KAUFMAN COUNTY,48257,0
S8 NC/SR,TX KAUFMAN COUNTY,48257,98
S236,TX KAUFMAN COUNTY,48257,0
VO,TX KENDALL COUNTY,48259,-1
PH,TX KENDALL COUNTY,48259,0
MR,TX KENDALL COUNTY,48259,-1
All HUD,TX KENDALL COUNTY,48259,-1
S8 NC/SR,TX KENDALL COUNTY,48259,0
S236,TX KENDALL COUNTY,48259,0
MF/Other,TX KENDALL COUNTY,48259,0
VO,TX KENEDY COUNTY,48261,-1
PH,TX KENEDY COUNTY,48261,0
MR,TX KENEDY COUNTY,48261,-1
All HUD,TX KENEDY COUNTY,48261,-1
S8 NC/SR,TX KENEDY COUNTY,48261,0
S236,TX KENEDY COUNTY,48261,0
MF/Other,TX KENEDY COUNTY,48261,0
VO,TX KENT COUNTY,48263,-1
PH,TX KENT COUNTY,48263,0
MR,TX KENT COUNTY,48263,-1
All HUD,TX KENT COUNTY,48263,-1
MF/Other,TX KENT COUNTY,48263,0
S8 NC/SR,TX KENT COUNTY,48263,0
S236,TX KENT COUNTY,48263,0
VO,TX KERR COUNTY,48265,-1
PH,TX KERR COUNTY,48265,0
MR,TX KERR COUNTY,48265,-1
All HUD,TX KERR COUNTY,48265,-1
MF/Other,TX KERR COUNTY,48265,63
S8 NC/SR,TX KERR COUNTY,48265,51
S236,TX KERR COUNTY,48265,0
VO,TX KIMBLE COUNTY,48267,-1
PH,TX KIMBLE COUNTY,48267,40
MR,TX KIMBLE COUNTY,48267,-1
All HUD,TX KIMBLE COUNTY,48267,-1
S8 NC/SR,TX KIMBLE COUNTY,48267,0
S236,TX KIMBLE COUNTY,48267,0
MF/Other,TX KIMBLE COUNTY,48267,0
VO,TX KING COUNTY,48269,-1
PH,TX KING COUNTY,48269,0
MR,TX KING COUNTY,48269,-1
All HUD,TX KING COUNTY,48269,-1
S8 NC/SR,TX KING COUNTY,48269,0
S236,TX KING COUNTY,48269,0
MF/Other,TX KING COUNTY,48269,0
VO,TX KINNEY COUNTY,48271,-1
PH,TX KINNEY COUNTY,48271,46
MR,TX KINNEY COUNTY,48271,-1
All HUD,TX KINNEY COUNTY,48271,-1
MF/Other,TX KINNEY COUNTY,48271,0
S236,TX KINNEY COUNTY,48271,0
S8 NC/SR,TX KINNEY COUNTY,48271,0
VO,TX KLEBERG COUNTY,48273,-1
PH,TX KLEBERG COUNTY,48273,217
MR,TX KLEBERG COUNTY,48273,-1
All HUD,TX KLEBERG COUNTY,48273,-1
S8 NC/SR,TX KLEBERG COUNTY,48273,24
S236,TX KLEBERG COUNTY,48273,24
MF/Other,TX KLEBERG COUNTY,48273,108
VO,TX KNOX COUNTY,48275,-1
PH,TX KNOX COUNTY,48275,107
MR,TX KNOX COUNTY,48275,-1
All HUD,TX KNOX COUNTY,48275,-1
S8 NC/SR,TX KNOX COUNTY,48275,0
S236,TX KNOX COUNTY,48275,0
MF/Other,TX KNOX COUNTY,48275,0
VO,TX LAMAR COUNTY,48277,-1
PH,TX LAMAR COUNTY,48277,300
MR,TX LAMAR COUNTY,48277,-1
All HUD,TX LAMAR COUNTY,48277,-1
S8 NC/SR,TX LAMAR COUNTY,48277,0
S236,TX LAMAR COUNTY,48277,0
MF/Other,TX LAMAR COUNTY,48277,190
PH,TX LAMB COUNTY,48279,18
VO,TX LAMB COUNTY,48279,-1
MR,TX LAMB COUNTY,48279,-1
All HUD,TX LAMB COUNTY,48279,-1
S236,TX LAMB COUNTY,48279,0
MF/Other,TX LAMB COUNTY,48279,0
S8 NC/SR,TX LAMB COUNTY,48279,48
VO,TX LAMPASAS COUNTY,48281,-1
PH,TX LAMPASAS COUNTY,48281,20
MR,TX LAMPASAS COUNTY,48281,-1
All HUD,TX LAMPASAS COUNTY,48281,-1
S236,TX LAMPASAS COUNTY,48281,0
MF/Other,TX LAMPASAS COUNTY,48281,0
S8 NC/SR,TX LAMPASAS COUNTY,48281,50
VO,TX LA SALLE COUNTY,48283,-1
PH,TX LA SALLE COUNTY,48283,60
MR,TX LA SALLE COUNTY,48283,-1
All HUD,TX LA SALLE COUNTY,48283,-1
S8 NC/SR,TX LA SALLE COUNTY,48283,0
S236,TX LA SALLE COUNTY,48283,0
MF/Other,TX LA SALLE COUNTY,48283,0
PH,TX LAVACA COUNTY,48285,0
VO,TX LAVACA COUNTY,48285,-1
MR,TX LAVACA COUNTY,48285,-1
All HUD,TX LAVACA COUNTY,48285,-1
MF/Other,TX LAVACA COUNTY,48285,0
S8 NC/SR,TX LAVACA COUNTY,48285,64
S236,TX LAVACA COUNTY,48285,0
PH,TX LEE COUNTY,48287,0
VO,TX LEE COUNTY,48287,-1
MR,TX LEE COUNTY,48287,-1
All HUD,TX LEE COUNTY,48287,-1
MF/Other,TX LEE COUNTY,48287,0
S8 NC/SR,TX LEE COUNTY,48287,0
S236,TX LEE COUNTY,48287,0
VO,TX LEON COUNTY,48289,-1
PH,TX LEON COUNTY,48289,72
MR,TX LEON COUNTY,48289,-1
All HUD,TX LEON COUNTY,48289,-1
S8 NC/SR,TX LEON COUNTY,48289,0
S236,TX LEON COUNTY,48289,0
MF/Other,TX LEON COUNTY,48289,0
VO,TX LIBERTY COUNTY,48291,-1
PH,TX LIBERTY COUNTY,48291,170
MR,TX LIBERTY COUNTY,48291,-1
All HUD,TX LIBERTY COUNTY,48291,-1
S8 NC/SR,TX LIBERTY COUNTY,48291,60
S236,TX LIBERTY COUNTY,48291,0
MF/Other,TX LIBERTY COUNTY,48291,53
VO,TX LIMESTONE COUNTY,48293,-1
PH,TX LIMESTONE COUNTY,48293,217
MR,TX LIMESTONE COUNTY,48293,-1
All HUD,TX LIMESTONE COUNTY,48293,-1
MF/Other,TX LIMESTONE COUNTY,48293,0
S8 NC/SR,TX LIMESTONE COUNTY,48293,0
S236,TX LIMESTONE COUNTY,48293,0
VO,TX LIPSCOMB COUNTY,48295,-1
PH,TX LIPSCOMB COUNTY,48295,0
MR,TX LIPSCOMB COUNTY,48295,-1
All HUD,TX LIPSCOMB COUNTY,48295,-1
MF/Other,TX LIPSCOMB COUNTY,48295,0
S8 NC/SR,TX LIPSCOMB COUNTY,48295,0
S236,TX LIPSCOMB COUNTY,48295,0
VO,TX LIVE OAK COUNTY,48297,-1
PH,TX LIVE OAK COUNTY,48297,39
MR,TX LIVE OAK COUNTY,48297,-1
All HUD,TX LIVE OAK COUNTY,48297,-1
S8 NC/SR,TX LIVE OAK COUNTY,48297,24
S236,TX LIVE OAK COUNTY,48297,0
MF/Other,TX LIVE OAK COUNTY,48297,0
PH,TX LLANO COUNTY,48299,50
VO,TX LLANO COUNTY,48299,-1
MR,TX LLANO COUNTY,48299,-1
All HUD,TX LLANO COUNTY,48299,-1
S8 NC/SR,TX LLANO COUNTY,48299,0
S236,TX LLANO COUNTY,48299,0
